year,format,team,seed,trank,adj_em,adj_t,win_count,win_pct,actual_champion
2022,8-team no byes,Evansville,10,324.0,-14.3,63.9,0,0.0,0
2022,10-team 6 single byes,Northern Iowa,1,94.0,8.1,67.3,1284,12.84,0
2022,10-team 6 single byes,Missouri St.,2,80.0,10.3,67.1,2506,25.06,0
2022,10-team 6 single byes,Drake,3,82.0,9.5,66.0,1477,14.77,0
2022,10-team 6 single byes,Loyola Chicago,4,39.0,14.6,64.6,3833,38.33,1
2022,10-team 6 single byes,Bradley,5,102.0,6.6,67.3,537,5.37,0
2022,10-team 6 single byes,Southern Illinois,6,126.0,3.8,62.1,298,2.98,0
2022,10-team 6 single byes,Valparaiso,7,207.0,-3.3,65.2,29,0.29,0
2022,10-team 6 single byes,Illinois St.,8,201.0,-2.5,68.1,19,0.19,0
2022,10-team 6 single byes,Indiana St.,9,204.0,-3.0,69.5,17,0.17,0
2022,10-team 6 single byes,Evansville,10,324.0,-14.3,63.9,0,0.0,0
2023,10-team double bye,Bradley,1,92.0,8.2,65.2,2965,29.65,0
2023,10-team double bye,Drake,2,53.0,13.2,66.3,5230,52.3,1
2023,10-team double bye,Southern Illinois,3,144.0,1.6,63.7,282,2.82,0
2023,10-team double bye,Belmont,4,127.0,3.8,68.3,381,3.81,0
2023,10-team double bye,Indiana St.,5,95.0,7.8,70.5,911,9.11,0
2023,10-team double bye,Missouri St.,6,145.0,1.6,61.9,208,2.08,0
2023,10-team double bye,Murray St.,7,228.0,-4.6,66.6,13,0.13,0
2023,10-team double bye,Northern Iowa,8,221.0,-3.9,67.3,10,0.1,0
2023,10-team double bye,Evansville,9,352.0,-17.8,69.5,0,0.0,0
2023,10-team double bye,Illinois St.,10,297.0,-10.6,64.9,0,0.0,0
2023,10-team double bye,Illinois Chicago,11,285.0,-9.4,68.9,0,0.0,0
2023,10-team double bye,Valparaiso,12,290.0,-10.0,67.9,0,0.0,0
2023,8-team no byes,Bradley,1,92.0,8.2,65.2,2002,20.02,0
2023,8-team no byes,Drake,2,53.0,13.2,66.3,5423,54.23,1
2023,8-team no byes,Southern Illinois,3,144.0,1.6,63.7,316,3.16,0
2023,8-team no byes,Belmont,4,127.0,3.8,68.3,467,4.67,0
2023,8-team no byes,Indiana St.,5,95.0,7.8,70.5,1418,14.18,0
2023,8-team no byes,Missouri St.,6,145.0,1.6,61.9,311,3.11,0
2023,8-team no byes,Murray St.,7,228.0,-4.6,66.6,33,0.33,0
2023,8-team no byes,Northern Iowa,8,221.0,-3.9,67.3,30,0.3,0
2023,8-team no byes,Evansville,9,352.0,-17.8,69.5,0,0.0,0
2023,8-team no byes,Illinois St.,10,297.0,-10.6,64.9,0,0.0,0
2023,8-team no byes,Illinois Chicago,11,285.0,-9.4,68.9,0,0.0,0
2023,8-team no byes,Valparaiso,12,290.0,-10.0,67.9,0,0.0,0
2023,10-team 6 single byes,Bradley,1,92.0,8.2,65.2,1987,19.87,0
2023,10-team 6 single byes,Drake,2,53.0,13.2,66.3,5558,55.58,1
2023,10-team 6 single byes,Southern Illinois,3,144.0,1.6,63.7,303,3.03,0
2023,10-team 6 single byes,Belmont,4,127.0,3.8,68.3,439,4.39,0
2023,10-team 6 single byes,Indiana St.,5,95.0,7.8,70.5,1349,13.49,0
2023,10-team 6 single byes,Missouri St.,6,145.0,1.6,61.9,312,3.12,0
2023,10-team 6 single byes,Murray St.,7,228.0,-4.6,66.6,22,0.22,0
2023,10-team 6 single byes,Northern Iowa,8,221.0,-3.9,67.3,30,0.3,0
2023,10-team 6 single byes,Evansville,9,352.0,-17.8,69.5,0,0.0,0
2023,10-team 6 single byes,Illinois St.,10,297.0,-10.6,64.9,0,0.0,0
2023,10-team 6 single byes,Illinois Chicago,11,285.0,-9.4,68.9,0,0.0,0
2023,10-team 6 single byes,Valparaiso,12,290.0,-10.0,67.9,0,0.0,0
2024,10-team double bye,Bradley,1,60.0,12.8,66.3,2145,21.45,0
2024,10-team double bye,Drake,2,51.0,14.7,67.9,3826,38.26,1
2024,10-team double bye,Indiana St.,3,42.0,16.9,70.7,3347,33.47,0
2024,10-team double bye,Northern Iowa,4,106.0,6.8,66.6,234,2.34,0
2024,10-team double bye,Belmont,5,101.0,7.3,71.3,310,3.1,0
2024,10-team double bye,Southern Illinois,6,116.0,5.2,64.3,83,0.83,0
2024,10-team double bye,Illinois St.,7,193.0,-2.5,63.8,3,0.03,0
2024,10-team double bye,Murray St.,8,155.0,0.9,64.5,20,0.2,0
2024,10-team double bye,Missouri St.,9,142.0,2.1,67.9,29,0.29,0
2024,10-team double bye,Evansville,10,210.0,-3.8,68.6,3,0.03,0
